[cs-service][WARN] [2016-05-04 09:34:20] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 09:34:20] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 09:34:20] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 09:34:20] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 09:34:20] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.leweiyou.service.mybatis.dao]' package. Please check your configuration.
[cs-service][INFO] [2016-05-04 09:34:20] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-jbpm/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-05-04 09:34:20] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-jbpm/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#1' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sharesession' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:21] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sessionManager' of type [class org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:23] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[cs-service][INFO] [2016-05-04 09:34:23] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'dataSource' of type [class com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:24] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:24] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:24] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysMenuMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysRoleMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysRoleMenuMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserRoleMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserMapper' of type [class com.sun.proxy.$Proxy18] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysUserService' of type [class com.leweiyou.service.service.sys.SysUserService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.afterPropertiesSet(129) | Initializing EhCache CacheManager
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManagerFactory' of type [class org.springframework.cache.ehcache.EhCacheManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManagerFactory' of type [class net.sf.ehcache.CacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'cacheManager' of type [class org.springframework.cache.ehcache.EhCacheCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.interceptor.CacheInterceptor#0' of type [class org.springframework.cache.interceptor.CacheInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'userRealm' of type [class com.leweiyou.service.shiro.UserRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:25] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:26] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'simplePermFilter' of type [class com.leweiyou.service.shiro.PermissionsAuthorizationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 09:34:27] org.hibernate.validator.internal.util.Version.<clinit>(27) | HV000001: Hibernate Validator 5.0.2.Final
[cs-service][INFO] [2016-05-04 09:34:28] org.springframework.orm.hibernate3.LocalSessionFactoryBean.buildSessionFactory(713) | Building new Hibernate SessionFactory
[cs-service][INFO] [2016-05-04 09:34:34] org.springframework.context.support.AbstractApplicationContext.doClose(862) | Closing org.springframework.context.support.GenericApplicationContext@28262531: startup date [Wed May 04 09:34:19 CST 2016]; root of context hierarchy
[cs-service][INFO] [2016-05-04 09:34:34] org.springframework.orm.hibernate3.AbstractSessionFactoryBean.destroy(225) | Closing Hibernate SessionFactory
[cs-service][INFO] [2016-05-04 09:34:34] org.springframework.cache.ehcache.EhCacheManagerFactoryBean.destroy(181) | Shutting down EhCache CacheManager
[cs-service][INFO] [2016-05-04 09:34:34] com.alibaba.druid.pool.DruidDataSource.close(1385) | {dataSource-1} closed
